As of 'Friday April 12 2024 11:50:40 AM'
id, pronumber, terminal, billtype, pages, comments, remarks, status, biller_id, query_id, prod_id, start_time, end_time, job, ex1, ex2, ex3, ex4, ex5, created_timestamp, modefied_timestamp, archived
144,111111111111,DLDS,REGULAR,0,,,BILLED,1,0,69,4/4/2024 7:45:26 PM,4/5/2024 4:56:09 PM,FBE,,,,,,4/4/2024 7:45:27 PM,1/1/0001 12:00:00 AM,0
145,222222222222,DLDS,REGULAR,0,,,BILLED,1,0,69,4/4/2024 7:59:25 PM,4/4/2024 7:59:30 PM,FBE,,,,,,4/4/2024 7:59:25 PM,1/1/0001 12:00:00 AM,0
146,111111111111,DLDS,REGULAR,0,,,BILLED,1,0,70,4/5/2024 11:04:26 AM,4/5/2024 11:04:32 AM,FBE,,,,,,4/5/2024 11:04:26 AM,1/1/0001 12:00:00 AM,0
147,222222222222,DLDS,REGULAR,0,,,BILLED,1,0,70,4/5/2024 11:04:58 AM,4/5/2024 11:05:00 AM,FBE,,,,,,4/5/2024 11:04:58 AM,1/1/0001 12:00:00 AM,0
148,555555555555,DLDS,REGULAR,0,,,BILLED,19,0,70,4/5/2024 11:09:20 AM,4/5/2024 11:09:21 AM,FBE,,,,,,4/5/2024 11:09:20 AM,1/1/0001 12:00:00 AM,0
149,666666666666,DLDS,REGULAR,0,,,BILLED,19,0,70,4/5/2024 11:11:47 AM,4/5/2024 11:11:49 AM,FBE,,,,,,4/5/2024 11:11:47 AM,1/1/0001 12:00:00 AM,0
150,777777777777,DLDS,REGULAR,1,,,BILLED,19,0,70,4/5/2024 11:16:53 AM,4/5/2024 11:16:57 AM,FBE,DYLT INBOUND,,,,,4/5/2024 11:16:53 AM,1/1/0001 12:00:00 AM,0
151,888888888888,DLDS,REGULAR,1,test remarks,,BILLED,19,0,70,4/5/2024 11:17:26 AM,4/5/2024 11:17:28 AM,FBE,RRTS OUTBOUND,,,,,4/5/2024 11:17:26 AM,1/1/0001 12:00:00 AM,0
152,999999999999,DLDS,REGULAR,12,test,PROBILL MODIFIED BY OTHER USER,REJECT,19,0,70,4/5/2024 11:18:33 AM,4/5/2024 11:18:42 AM,FBE,DYLT INBOUND,,,,,4/5/2024 11:18:33 AM,1/1/0001 12:00:00 AM,0
153,123333333333,DLDS,REGULAR,1,,,BILLED,1,0,70,4/5/2024 11:25:11 AM,4/5/2024 11:25:14 AM,FBE,RRTS,,,,,4/5/2024 11:25:11 AM,1/1/0001 12:00:00 AM,0
154,122333333333,DLDS,REGULAR,0,,,ONGOING,1,0,70,4/5/2024 11:26:28 AM,1/1/0001 12:00:00 AM,FBE,RRTS,,,,,4/5/2024 11:26:28 AM,1/1/0001 12:00:00 AM,0
155,122344444444,DLDS,REGULAR,1,,,ONGOING,1,0,70,4/5/2024 11:33:00 AM,1/1/0001 12:00:00 AM,FBE,CUSTOM,,,,,4/5/2024 11:33:00 AM,1/1/0001 12:00:00 AM,0
156,333111111111,DLDS,REGULAR,1,,,BILLED,1,0,70,4/5/2024 11:35:45 AM,4/5/2024 11:36:22 AM,FBE,DYLT INBOUND,,,,,4/5/2024 11:35:45 AM,1/1/0001 12:00:00 AM,0
157,444444444441,DLDS,REGULAR,1,,,BILLED,1,0,70,4/5/2024 11:37:26 AM,4/5/2024 11:38:36 AM,FBE,DYLT INBOUND,,,,,4/5/2024 11:37:56 AM,1/1/0001 12:00:00 AM,0
158,211111111111,DLDS,REGULAR,0,,,BILLED,1,0,70,4/5/2024 11:38:51 AM,4/5/2024 11:38:56 AM,FBE,DYLT OUTBOUND,,,,,4/5/2024 11:38:51 AM,1/1/0001 12:00:00 AM,0
159,611111111111,DLDS,REGULAR,0,,,ONGOING,1,0,70,4/5/2024 11:39:08 AM,1/1/0001 12:00:00 AM,FBE,CUSTOM,,,,,4/5/2024 11:39:08 AM,1/1/0001 12:00:00 AM,0
160,777777777779,DLDS,REGULAR,0,,,BILLED,19,0,70,4/5/2024 11:41:24 AM,4/5/2024 4:55:53 PM,FBE,DYLT OUTBOUND,,,,,4/5/2024 11:41:24 AM,1/1/0001 12:00:00 AM,0
161,123444444444,DLDS,REGULAR,1,,,BILLED,1,0,70,4/5/2024 12:59:57 PM,4/5/2024 1:00:12 PM,FBE,RRTS OUTBOUND,,,,,4/5/2024 12:59:57 PM,1/1/0001 12:00:00 AM,0
